epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,6477.67,1.22043,0.60816,1.04639,0.92301,0.89548,0.95389,0.63573,1.21505,0.56774,1.04058,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6599.41,1.21824,0.60642,1.04528,0.92333,0.89469,0.95373,0.63617,1.21472,0.56668,1.04024,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6721.29,1.21424,0.60368,1.04337,0.92254,0.89573,0.95375,0.63654,1.215,0.56567,1.04026,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6842.87,1.2158,0.60332,1.04326,0.92067,0.89778,0.95441,0.6364,1.21395,0.56473,1.03991,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6964.62,1.21269,0.60026,1.04397,0.92191,0.89748,0.95391,0.63596,1.21393,0.56443,1.03974,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7086.21,1.21265,0.60079,1.04411,0.92514,0.8956,0.95393,0.63677,1.21302,0.56422,1.03903,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7208.29,1.21351,0.59904,1.04323,0.92546,0.89647,0.95458,0.63694,1.21283,0.5636,1.03892,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7329.99,1.20814,0.59396,1.04115,0.9267,0.89587,0.9544,0.63666,1.21208,0.56366,1.03861,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7451.61,1.19763,0.58812,1.03712,0.92716,0.89422,0.95441,0.6372,1.21164,0.56253,1.03821,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7573.09,1.19268,0.58729,1.0343,0.9274,0.89362,0.95407,0.63735,1.21195,0.5624,1.03827,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7695.05,1.19788,0.59033,1.03584,0.92655,0.89559,0.95434,0.63724,1.21141,0.56239,1.0381,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7816.72,1.19633,0.5846,1.03592,0.92637,0.89528,0.95458,0.63752,1.21128,0.56179,1.03788,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7938.52,1.19384,0.58341,1.03551,0.92694,0.89528,0.95482,0.6378,1.21097,0.56142,1.03771,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8060.29,1.19045,0.582,1.03338,0.9281,0.89558,0.95508,0.63822,1.21057,0.562,1.0372,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8182.43,1.18981,0.57852,1.03299,0.92879,0.89515,0.95514,0.63805,1.21044,0.56151,1.03698,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8303.8,1.18752,0.57936,1.03195,0.92936,0.89528,0.95513,0.6385,1.21007,0.56095,1.03668,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
